Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
BAD92402.1	ribosomal protein S10 variant, partial [Homo sapiens]	Pf03501	6204	RPS10	6
XP_006715917.1	protein CASP isoform X2 [Homo sapiens]	Pf00046, Pf00261, Pf00769, Pf01576, Pf02376, Pf02463, Pf03938, Pf04111, Pf04156, Pf05557, Pf05622, Pf05701, Pf05911, Pf06160, Pf06810, Pf07902, Pf07926, Pf09731, Pf09787, Pf10174, Pf10186, Pf11559, Pf12072, Pf12128, Pf12729, Pf13166, Pf13514, Pf13851, Pf14915, Pf14932, Pf15066, Pf15397, Pf15619	1523	CUX1	7
NP_009210.1	splicing factor U2AF 65 kDa subunit isoform a [Homo sapiens]	Pf00076, Pf13893, Pf14259	11338	U2AF2	19
BAA01392.1	80K-L protein [Homo sapiens]		4082	MARCKS	6
EAW81764.1	dynein, cytoplasmic 1, heavy chain 1, isoform CRA_f [Homo sapiens]	Pf00769, Pf03028, Pf03915, Pf04156, Pf07246, Pf07728, Pf08385, Pf08393, Pf12774, Pf12775, Pf12777, Pf12780, Pf12781, Pf13173, Pf13207, Pf13401	1778	DYNC1H1	14
BAF83827.1	unnamed protein product [Homo sapiens]	Pf00050, Pf03137, Pf07648, Pf13499	11167	FSTL1	3
BAD97315.1	ribophorin I variant, partial [Homo sapiens]	Pf04597	6184	RPN1	3
XP_011517227.1	niban-like protein 1 isoform X2 [Homo sapiens]		64855	FAM129B	9
EAX05803.1	septin 11, isoform CRA_a [Homo sapiens]	Pf00735	55752	SEPT11	4
NP_005712.1	actin-related protein 3 isoform 1 [Homo sapiens]	Pf00022	10096	ACTR3	2
NP_001171501.1	splicing factor 1 isoform 6 [Homo sapiens]	Pf00013, Pf00098, Pf13014	7536	SF1	11
NP_001129668.1	transportin-2 isoform 1 [Homo sapiens]	Pf03810, Pf13513	30000	TNPO2	19
NP_003312.3	elongation factor Tu, mitochondrial isoform 1 precursor [Homo sapiens]	Pf00009, Pf03143, Pf03144	7284	TUFM	16
AAH07957.1	DDRGK domain containing 1 [Homo sapiens]	Pf09756	65992	DDRGK1	20
NP_001292553.1	calmodulin-2 isoform 1 [Homo sapiens]	Pf00036, Pf08726, Pf12763, Pf13202, Pf13405, Pf13499, Pf13833, Pf14658	805	CALM2	2
BAG60181.1	unnamed protein product [Homo sapiens]	Pf00928	1173	AP2M1	3
XP_006710589.1	microtubule-actin cross-linking factor 1 isoform X14 [Homo sapiens]	Pf00036, Pf00307, Pf00435, Pf00681, Pf01576, Pf02187, Pf10498, Pf11971, Pf13499, Pf13514, Pf13833	23499	MACF1	1
5I7Q_A	Chain A, Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,Peptidyl-prolyl cis-trans isomerase FKBP1A				
BAG37826.1	unnamed protein product [Homo sapiens]	Pf00443, Pf13423	9097	USP14	18
NP_848927.2	protein LYRIC isoform 1 [Homo sapiens]		92140	MTDH	8
EAW74541.1	hCG2016942, isoform CRA_d [Homo sapiens]	Pf03571	10072	DPP3	11
EAW61633.1	La ribonucleoprotein domain family, member 1, isoform CRA_b, partial [Homo sapiens]	Pf05383	23367	LARP1	5
BAD97204.1	glucosamine (N-acetyl)-6-sulfatase precursor variant, partial [Homo sapiens]	Pf00884, Pf01663	2799	GNS	12
EAW79755.1	activated leukocyte cell adhesion molecule, isoform CRA_a [Homo sapiens]	Pf07679, Pf08205, Pf13895, Pf13927	214	ALCAM	3
BAG37656.1	unnamed protein product [Homo sapiens]	Pf00012, Pf06723	3305	HSPA1L	6
AAH98269.1	RAP1, GTP-GDP dissociation stimulator 1 [Homo sapiens]	Pf00514	5910	RAP1GDS1	4
CAG47005.1	RPLP1 [Homo sapiens]	Pf00428	6176	RPLP1	15
EAW99545.1	potassium channel modulatory factor 1, isoform CRA_b [Homo sapiens]	Pf00569, Pf05605, Pf14571	56888	KCMF1	2
NP_073567.1	COP9 signalosome complex subunit 7b isoform b [Homo sapiens]	Pf01399	64708	COPS7B	2
NP_001304310.1	heat shock 70 kDa protein 4L isoform 2 [Homo sapiens]	Pf00012	22824	HSPA4L	4
3LW1_A	Chain A, Binary Complex Of 14-3-3 Sigma And P53 Pt387-Peptide				
NP_055077.2	prolyl 3-hydroxylase 3 precursor [Homo sapiens]	Pf13640	10536	LEPREL2; P3H3	12
AAF29112.1	HSPC148 [Homo sapiens]	Pf04889	51503	CWC15	11
NP_001005333.1	melanoma-associated antigen D1 isoform a [Homo sapiens]	Pf00874, Pf01454	9500	MAGED1	X
EAW90247.1	acyl-Coenzyme A dehydrogenase, very long chain, isoform CRA_b [Homo sapiens]	Pf00441, Pf02770, Pf02771, Pf08028	37	ACADVL	17
NP_001341932.1	protein MMP24OS [Homo sapiens]		101410538	MMP24-AS1; MMP24OS	20
NP_060092.2	BLOC-1-related complex subunit 6 [Homo sapiens]	Pf10157	54785	C17orf59; BORCS6	17
NP_037468.1	protein transport protein Sec61 subunit alpha isoform 1 [Homo sapiens]	Pf00344, Pf10559	29927	SEC61A1	3
XP_005266404.2	neurobeachin isoform X1 [Homo sapiens]	Pf02138, Pf06469, Pf13385, Pf14844	26960	NBEA	13
BAD96736.1	squamous cell carcinoma antigen recognized by T cells 1 variant, partial [Homo sapiens]	Pf03343	9092	SART1	11
NP_078772.1	interferon regulatory factor 2-binding protein-like [Homo sapiens]	Pf11261	64207	IRF2BPL	14
NP_001041675.1	chloride channel CLIC-like protein 1 isoform 1 precursor [Homo sapiens]	Pf05934	23155	CLCC1	1
BAA06336.1	eukaryotic initiation factor 4AII [Homo sapiens]	Pf00270, Pf00271, Pf04851	1974	EIF4A2	3
NP_001139014.1	zinc finger and SCAN domain-containing protein 18 isoform 1 [Homo sapiens]	Pf00096, Pf02023	65982	ZSCAN18	19
AAH56219.1	DEAH (Asp-Glu-Ala-His) box polypeptide 29 [Homo sapiens]	Pf00270, Pf00271, Pf04408, Pf07717, Pf13191	54505	DHX29	5
XP_011531831.1	raftlin isoform X1 [Homo sapiens]	Pf15250	23180	RFTN1	3
ADW01220.1	mutant methyl CpG binding protein 2 variant 1 [Homo sapiens]	Pf01429	4204	MECP2	X
AAL93149.1	golgin-160 [Homo sapiens]	Pf00038, Pf02463, Pf04111, Pf07888, Pf10186, Pf12128, Pf12325	2802	GOLGA3	12
AAH07082.1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Homo sapiens]	Pf00505	6605	SMARCE1	17
XP_011527203.1	ADP-ribosylation factor GTPase-activating protein 1 isoform X1 [Homo sapiens]	Pf01412	55738	ARFGAP1	20
XP_005254765.1	talin-2 isoform X1 [Homo sapiens]	Pf00373, Pf01608, Pf02174, Pf08913, Pf09141, Pf09379	83660	TLN2	15
AAV38817.1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [Homo sapiens]	Pf00244	10971	YWHAQ	2
NP_001334994.1	dynactin subunit 2 isoform 4 [Homo sapiens]	Pf04912	10540	DCTN2	12
EAW97791.1	chromosome 12 open reading frame 23, isoform CRA_b, partial [Homo sapiens]	Pf15475	90488	C12orf23; TMEM263	12
4X44_A	Chain A, Crystal Structure Of Mutant R89q Of Human Adenine Phosphoribosyltransferase				
AAH51814.1	YWHAZ protein, partial [Homo sapiens]	Pf00244	7534	YWHAZ	8
CAA80599.1	hnRNP G protein [Homo sapiens]	Pf00076, Pf08081, Pf13893, Pf14259	27316	RBMX	X
EAW99923.1	RAB1A, member RAS oncogene family, isoform CRA_f [Homo sapiens]	Pf00009, Pf00025, Pf00071, Pf01926, Pf04670, Pf08477, Pf09439	5861	RAB1A	2
NP_060757.4	rho GTPase-activating protein 12 isoform 1 [Homo sapiens]	Pf00018, Pf00169, Pf00397, Pf00620, Pf14604	94134	ARHGAP12	10
XP_024304570.1	chromodomain-helicase-DNA-binding protein 4 isoform X1 [Homo sapiens]				
NP_073591.2	sideroflexin-1 isoform 1 [Homo sapiens]	Pf03820	94081	SFXN1	5
NP_001352825.1	nascent polypeptide-associated complex subunit alpha isoform d [Homo sapiens]				
NP_001243399.1	pleckstrin homology domain-containing family A member 5 isoform 4 [Homo sapiens]	Pf00169, Pf00397, Pf04111, Pf15413	54477	PLEKHA5	12
BAH12176.1	unnamed protein product [Homo sapiens]	Pf00439, Pf00628, Pf00855, Pf01753, Pf12064	23613	ZMYND8	20
EAW90276.1	hCG32827, isoform CRA_b [Homo sapiens]	Pf00249	100529209	RNASEK-C17orf49	17
XP_011509878.1	E3 SUMO-protein ligase RanBP2 isoform X6 [Homo sapiens]	Pf00160, Pf00515, Pf00638, Pf00641, Pf07719, Pf12185, Pf13414, Pf13432, Pf14559	5903	RANBP2	2
1PE0_A	Chain A, Crystal Structure Of The K130r Mutant Of Human Dj-1				
Q6EEV4.1	RecName: Full=DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5; AltName: Full=DNA-directed RNA polymerase II subunit M, isoforms 4/5		81488	POLR2M	15
NP_116315.1	transcription elongation factor A protein-like 3 [Homo sapiens]	Pf04538	85012	TCEAL3	X
BAB14925.1	unnamed protein product [Homo sapiens]	Pf00736, Pf10587	1936	EEF1D	8
EAW83089.1	nucleolar protein 3 (apoptosis repressor with CARD domain), isoform CRA_c [Homo sapiens]	Pf00619	8996	NOL3	16
NP_001032726.1	transcription factor BTF3 isoform A [Homo sapiens]	Pf01849	689	BTF3	5
2NVU_B	Chain B, Structure Of Appbp1-Uba3~nedd8-Nedd8-Mgatp-Ubc12(C111a), A Trapped Ubiquitin-Like Protein Activation Complex				
NP_005372.2	nucleolin [Homo sapiens]	Pf00076, Pf13893, Pf14259	4691	NCL	2
XP_016856050.1	alpha-taxilin isoform X1 [Homo sapiens]	Pf09728	200081	TXLNA	1
AAC51831.1	dead box, Y isoform [Homo sapiens]	Pf00270, Pf00271, Pf04851	8653	DDX3Y	Y
AAC18044.1	antigen NY-CO-25, partial [Homo sapiens]	Pf00012	10808	HSPH1	13
AAA61616.1	hLON ATP-dependent protease [Homo sapiens]	Pf00004, Pf00910, Pf01695, Pf02190, Pf05362, Pf05496, Pf07724, Pf07728, Pf08298, Pf13191, Pf13207, Pf13401, Pf13541	9361	LONP1	19
AAD22034.1	thyroid hormone receptor-associated protein complex component TRAP150 [Homo sapiens]	Pf15440	9967	THRAP3	1
NP_001288139.1	myelin expression factor 2 isoform b [Homo sapiens]	Pf00076, Pf11608, Pf13893, Pf14259	50804	MYEF2	15
AAO23957.1	HZGJ [Homo sapiens]	Pf00036, Pf12763, Pf13405, Pf13499, Pf13833			
BAD92356.1	eukaryotic translation initiation factor 4 gamma, 3 variant, partial [Homo sapiens]	Pf02020, Pf02847, Pf02854	8672	EIF4G3	1
EAW77607.1	vacuolar protein sorting 13C (yeast), isoform CRA_i [Homo sapiens]	Pf06650, Pf12624	54832	VPS13C	15
XP_011534644.1	gephyrin isoform X3 [Homo sapiens]	Pf00994, Pf03453, Pf03454	10243	GPHN	14
BAG61467.1	unnamed protein product [Homo sapiens]	Pf00956	4676	NAP1L4	11
BAA83718.1	RNA binding protein [Homo sapiens]		23524	SRRM2	16
NP_001129115.1	dynactin subunit 4 isoform a [Homo sapiens]	Pf05502	51164	DCTN4	5
AAI36645.1	SMARCA4 protein [Homo sapiens]	Pf00176, Pf00270, Pf00271, Pf00439, Pf07529, Pf07533, Pf08880, Pf11496, Pf14619	6597	SMARCA4	19
BAG35427.1	unnamed protein product [Homo sapiens]	Pf01851, Pf13513, Pf13646	5707	PSMD1	2
NP_115914.1	tubulin beta-6 chain isoform 1 [Homo sapiens]	Pf00091, Pf03953, Pf10644	84617	TUBB6	18
AAH10087.1	Phosphoglucomutase 2 [Homo sapiens]	Pf00408, Pf02878, Pf02879, Pf02880	55276	PGM2	4
NP_006806.1	transmembrane emp24 domain-containing protein 2 isoform 1 precursor [Homo sapiens]	Pf01105	10959	TMED2	12
NP_001186600.1	calumenin isoform c precursor [Homo sapiens]	Pf13499	813	CALU	7
AQY77118.1	SLC39A7 [Homo sapiens]	Pf02535	7922	SLC39A7	6
4BEH_B	Chain B, Solution structure of human ribosomal protein P1.P2 heterodimer				
NP_001095868.1	heterogeneous nuclear ribonucleoprotein R isoform 1 [Homo sapiens]	Pf00076, Pf13893, Pf14259	10236	HNRNPR	1; CHR_HSCHR1_4_CTG3
NP_787128.2	26S proteasome non-ATPase regulatory subunit 13 isoform 2 [Homo sapiens]	Pf01399	5719	PSMD13	11
BAG60547.1	unnamed protein product [Homo sapiens]	Pf02338, Pf10275	55611	OTUB1	11
NP_003744.1	eukaryotic translation initiation factor 3 subunit D [Homo sapiens]	Pf05091	8664	EIF3D	22
AAH14961.1	Cytidine monophosphate (UMP-CMP) kinase 1, cytosolic [Homo sapiens]	Pf00406, Pf02223, Pf06414, Pf13207, Pf13238, Pf13671	51727	CMPK1	1
EAW48099.1	hCG2030443, isoform CRA_a [Homo sapiens]	Pf04111, Pf10174, Pf10186, Pf11180, Pf11365			
NP_060090.2	interleukin enhancer-binding factor 3 isoform d [Homo sapiens]	Pf00035, Pf07528, Pf14709	3609	ILF3	19
AAI52421.1	Myelin expression factor 2 [Homo sapiens]	Pf00076, Pf08777, Pf11608, Pf13893, Pf14259	50804	MYEF2	15
AAS78571.1	200 kDa U5 snRNP-specific spliceosomal protein [Homo sapiens]	Pf00270, Pf00271, Pf02889, Pf04851	23020	SNRNP200	2
CAB66544.1	hypothetical protein [Homo sapiens]	Pf14893	83987	CCDC8	19
NP_001074248.1	unconventional myosin-Ic isoform a [Homo sapiens]	Pf00063, Pf06017	4641	MYO1C	17
NP_004490.2	heterogeneous nuclear ribonucleoprotein A/B isoform b [Homo sapiens]	Pf00076, Pf08143, Pf13893, Pf14259	3182	HNRNPAB	5
AAH47518.1	TUBB3 protein, partial [Homo sapiens]	Pf00091, Pf03953	10381	TUBB3	16
NP_003156.1	syntaxin-binding protein 1 isoform a [Homo sapiens]	Pf00995	6812	STXBP1	9
XP_024306539.1	alpha-N-acetylglucosaminidase isoform X1 [Homo sapiens]				
NP_006139.1	LIM and SH3 domain protein 1 isoform a [Homo sapiens]	Pf00018, Pf00412, Pf00880, Pf07653, Pf14604	3927	LASP1	17
AAB86589.1	meningioma-expressed antigen 11, partial [Homo sapiens]	Pf04111, Pf04156, Pf05010, Pf06160, Pf06409, Pf07926, Pf09726, Pf12128, Pf12718, Pf13863	4253	CTAGE5; MIA2	14
3R2W_A	Chain A, Crystal Strucutre Of Udp-Glucose Pyrophosphorylase Of Homo Sapiens				
NP_001091868.1	coatomer subunit alpha isoform 1 [Homo sapiens]	Pf00400, Pf04053, Pf06957	1314	COPA	1
5N7D_A	Chain A, MAGI-1 complexed with a RSK1 peptide				
NP_002558.1	phosphatidylethanolamine-binding protein 1 [Homo sapiens]	Pf01161	5037	PEBP1	12
AXO67726.1	MHC class I antigen [Homo sapiens]				
AAH53992.1	SR-related CTD-associated factor 1 [Homo sapiens]		58506	SCAF1	19
P23634	Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens OX=9606 GN=ATP2B4 PE=1 SV=2	Pf00122, Pf00689, Pf00690, Pf00702, Pf08282, Pf12424, Pf12710, Pf13246	493	ATP2B4	1
AAA93299.1	p60 [Homo sapiens]	Pf00564, Pf00569	8878	SQSTM1	5
4EC8_A	Chain A, Structure Of Full Length Cdk9 In Complex With Cyclint And Drb				
EAW71660.1	peroxisomal biogenesis factor 14, isoform CRA_b, partial [Homo sapiens]		5195	PEX14	1
XP_005269298.1	squamous cell carcinoma antigen recognized by T-cells 3 isoform X1 [Homo sapiens]	Pf00076, Pf13893, Pf14259	9733	SART3	12
XP_006713103.1	CLIP-associating protein 2 isoform X1 [Homo sapiens]	Pf02985, Pf12348	23122	CLASP2	3
EAW88132.1	collagen, type V, alpha 1, isoform CRA_c [Homo sapiens]	Pf01391, Pf01410, Pf02210, Pf13385	1289	COL5A1	9
XP_016873867.1	ras-related protein Rab-1B isoform X1 [Homo sapiens]	Pf00025, Pf00071, Pf01926, Pf04670, Pf08477, Pf09439	81876	RAB1B	11
NP_006752.1	14-3-3 protein epsilon [Homo sapiens]	Pf00244	7531	YWHAE	17; CHR_HSCHR17_2_CTG2
NP_003066.2	SWI/SNF complex subunit SMARCC2 isoform a [Homo sapiens]	Pf04433	6601	SMARCC2	12
AAF17217.1	matrin 3 [Homo sapiens]	Pf13893, Pf14259	9782	MATR3	5
NP_001351860.1	proteasome adapter and scaffold protein ECM29 isoform 4 [Homo sapiens]				
AAI44452.1	IRGQ protein [Homo sapiens]		126298	IRGQ	19
NP_002801.1	26S proteasome non-ATPase regulatory subunit 4 isoform 2 [Homo sapiens]	Pf02809, Pf04056, Pf13519	5710	PSMD4	1
NP_002005.1	peptidyl-prolyl cis-trans isomerase FKBP4 [Homo sapiens]	Pf00254, Pf00515, Pf07719, Pf13174, Pf13371, Pf13414, Pf13424, Pf13432, Pf14559	2288	FKBP4	12
XP_016885266.1	ubiquitin-like modifier-activating enzyme 1 isoform X1 [Homo sapiens]	Pf00899, Pf02134, Pf09358, Pf10585	7317	UBA1	X
ABI63371.1	proopiomelanocortin preproprotein [Homo sapiens]	Pf00976, Pf08035, Pf08384	5443	POMC	2
EAW69099.1	general transcription factor IIF, polypeptide 1, 74kDa, isoform CRA_b [Homo sapiens]	Pf05793	2962	GTF2F1	19
NP_055464.1	scaffold attachment factor B2 [Homo sapiens]	Pf00076, Pf02037, Pf13893, Pf14259	9667	SAFB2	19
AAB86528.1	Aac11 [Homo sapiens]	Pf05918, Pf13646	8539	API5	11
NP_001165131.1	NADH-cytochrome b5 reductase 3 isoform 3 [Homo sapiens]	Pf00175, Pf00970, Pf08030	1727	CYB5R3	22
XP_011511125.1	lipoma-preferred partner isoform X1 [Homo sapiens]	Pf00412, Pf02318, Pf03154	4026	LPP	3
6BH8_A	Chain A, CAAX prenyl protease 1 homolog				
EAW62546.1	annexin A1, isoform CRA_b [Homo sapiens]	Pf00191	301	ANXA1	9
XP_024307860.1	poly(rC)-binding protein 3 isoform X4 [Homo sapiens]				
5G58_A	Chain A, Crystal Structure Of A190t Mutant Of Human Hippocalcin At 2.5 A Resolution				
BAH12140.1	unnamed protein product [Homo sapiens]	Pf00076, Pf04818, Pf13893, Pf14259	22828	SCAF8	6
NP_061184.1	conserved oligomeric Golgi complex subunit 1 [Homo sapiens]	Pf08700	9382	COG1	17
4J6S_A	Chain A, 14-3-3gamma Complexed With The N-terminal Sequence Of Tyrosine Hydroxylase (residues 1-43)				
NP_001317054.1	vesicle-associated membrane protein 2 isoform 2 [Homo sapiens]	Pf00957	6844	VAMP2	17
AAG09692.1	reticulocabin precursor [Homo sapiens]	Pf13499	57333	RCN3	19
AAH36077.1	G1 to S phase transition 2 [Homo sapiens]	Pf00009, Pf03143, Pf03144, Pf07145	23708	GSPT2	X
AAI07805.1	PSMC3 protein, partial [Homo sapiens]	Pf00004, Pf01078, Pf05496, Pf07724, Pf07728, Pf13191	5702	PSMC3	11
AAH03160.1	Acid phosphatase 2, lysosomal [Homo sapiens]	Pf00328	53	ACP2	11
NP_114032.2	heterogeneous nuclear ribonucleoprotein U isoform a [Homo sapiens]	Pf00622, Pf13671	3192	HNRNPU	1
XP_024304295.1	nucleobindin-2 isoform X1 [Homo sapiens]				
AAI21148.1	Translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Homo sapiens]	Pf03031	92609	TIMM50	19
NP_150093.1	transcriptional activator protein Pur-beta [Homo sapiens]	Pf04845	5814	PURB	7
XP_024309848.1	la-related protein 7 isoform X1 [Homo sapiens]				
AAA35484.1	26S protease (S4) regulatory subunit [Homo sapiens]	Pf00004, Pf00910, Pf01078, Pf05496, Pf05673, Pf05729, Pf07724, Pf07726, Pf07728, Pf13191, Pf13401	5700	PSMC1	14
BAB61032.1	acute morphine dependence related protein 2 [Homo sapiens]	Pf00118, Pf05504	908	CCT6A	7
CAA38213.1	unnamed protein product [Homo sapiens]	Pf00028, Pf01049, Pf08758	1000	CDH2	18
XP_011528773.1	MICAL-like protein 1 isoform X1 [Homo sapiens]	Pf00307, Pf11971, Pf12130	85377	MICALL1	22
NP_055070.1	protein canopy homolog 2 isoform 1 precursor [Homo sapiens]	Pf11938	10330	CNPY2	12
BAA07892.3	KIAA0097 protein [Homo sapiens]	Pf12348	9793	CKAP5	11
XP_024302117.1	band 4.1-like protein 2 isoform X7 [Homo sapiens]				
NP_001316473.1	phosphatidylserine synthase 2 isoform 1 [Homo sapiens]	Pf03034	81490	PTDSS2	11
XP_005256578.1	beta-enolase isoform X1 [Homo sapiens]	Pf00113, Pf03952, Pf13378	2027	ENO3	17
AAP97265.1	RNA helicase [Homo sapiens]	Pf00270, Pf00271, Pf02784			
EAX05879.1	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa), isoform CRA_f [Homo sapiens]	Pf00076, Pf13893, Pf14259	3184	HNRNPD	4
XP_016862845.1	ruvB-like 1 isoform X1 [Homo sapiens]	Pf00004, Pf01078, Pf01695, Pf02562, Pf05496, Pf06068, Pf06414, Pf07724, Pf07726, Pf13191, Pf13207, Pf13238, Pf13245, Pf13481	8607	RUVBL1	3
AAH16736.1	HNRPF protein [Homo sapiens]	Pf00076, Pf08080, Pf14259	3185	HNRNPF	10
5YVG_X	Chain X, Crystal structure of Karyopherin beta2 in complex with FUS(full length)				
NP_001171488.1	acyl-CoA-binding protein isoform 4 [Homo sapiens]	Pf00887	1622	DBI	2
EAW48851.1	aldehyde dehydrogenase 7 family, member A1, partial [Homo sapiens]	Pf00171	501	ALDH7A1	5
NP_006830.2	MICOS complex subunit MIC60 isoform 1 [Homo sapiens]	Pf09731	10989	IMMT	2
BAG60658.1	unnamed protein product [Homo sapiens]	Pf00273	213	ALB	4
BAG52034.1	unnamed protein product [Homo sapiens]	Pf05602	1209	CLPTM1	19
AAG02116.1	steroid receptor RNA activator isoform 3 [Homo sapiens]	Pf07304	10011	SRA1	5
BAG37782.1	unnamed protein product [Homo sapiens]	Pf04495, Pf13180	5715	PSMD9	12
XP_005251033.1	plectin isoform X3 [Homo sapiens]	Pf00307, Pf00681, Pf03501, Pf07812	5339	PLEC	8
4C2J_A	Chain A, Crystal Structure Of Human Mitochondrial 3-ketoacyl-coa Thiolase In Complex With Coa				
AAQ13428.1	citrate synthase [Homo sapiens]	Pf00285	1431	CS	12
NP_003042.3	monocarboxylate transporter 1 [Homo sapiens]	Pf00083, Pf07690, Pf12832	6566	SLC16A1	1; CHR_HG2104_PATCH
NP_062535.2	YLP motif-containing protein 1 [Homo sapiens]	Pf13207, Pf13671	56252	YLPM1	14
NP_004069.1	cysteine and glycine-rich protein 1 isoform 1 [Homo sapiens]	Pf00412	1465	CSRP1	1
BAD92041.1	Adapter-related protein complex 3 delta 1 subunit variant, partial [Homo sapiens]	Pf01602, Pf06375	8943	AP3D1	19
NP_001135888.1	aminoacyl tRNA synthase complex-interacting multifunctional protein 1 isoform b precursor [Homo sapiens]	Pf01588	9255	AIMP1	4
EAW52998.1	lamin A/C, isoform CRA_c [Homo sapiens]	Pf00038, Pf00932, Pf02463, Pf05911, Pf12128	4000	LMNA	1
BAA91981.1	unnamed protein product [Homo sapiens]	Pf03194	51747	LUC7L3	17
EAW97759.1	KIAA1033, isoform CRA_b [Homo sapiens]	Pf14744, Pf14745, Pf14746	23325	KIAA1033; WASHC4	12
NP_001303249.1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 isoform 1 precursor [Homo sapiens]	Pf03171	5351	PLOD1	1
4K0G_A	Chain A, Crystal structure of human CLIC1 C24S mutant				
AAH51192.1	Splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated) [Homo sapiens]	Pf00076, Pf08075, Pf13893, Pf14259	6421	SFPQ	1
AAH50564.1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 [Homo sapiens]	Pf04433	6599	SMARCC1	3
2K07_A	Chain A, Solution NMR structure of human E2-like ubiquitin-fold modifier conjugating enzyme 1 (UFC1). Northeast Structural Genomics Consortium target HR41				
XP_011520324.1	SAFB-like transcription modulator isoform X1 [Homo sapiens]	Pf00076, Pf02037, Pf13893, Pf14259	79811	SLTM	15
BAG35999.1	unnamed protein product [Homo sapiens]	Pf00076, Pf13893, Pf14259	6626	SNRPA	19
2N1W_A	Chain A, Solution structure of human SUMO2				
AAG02026.1	hematopoietic PBX-interacting protein [Homo sapiens]		57326	PBXIP1	1
5L6W_C	Chain C, Structure Of The Limk1-atpgammas-cfl1 Complex				
NP_001247421.1	radixin isoform 1 [Homo sapiens]	Pf00373, Pf00769, Pf09379, Pf09380	5962	RDX	11
EAW62679.1	heterogeneous nuclear ribonucleoprotein K, isoform CRA_e [Homo sapiens]	Pf00013, Pf08067, Pf13014, Pf13083	3190	HNRNPK	9
EAW57806.1	kinesin family member 21A, isoform CRA_d [Homo sapiens]	Pf00038, Pf00225, Pf00400, Pf00769, Pf01576, Pf02050, Pf02463, Pf02841, Pf02996, Pf03938, Pf03962, Pf04111, Pf05010, Pf05483, Pf05557, Pf05622, Pf07926, Pf09731, Pf10174, Pf10211, Pf11600, Pf12037, Pf12128, Pf12718, Pf13166, Pf13514, Pf13863, Pf13868, Pf14943, Pf14988, Pf15558, Pf15619	55605	KIF21A	12
NP_003361.1	vasodilator-stimulated phosphoprotein [Homo sapiens]	Pf00568	7408	VASP	19
BAF84477.1	unnamed protein product [Homo sapiens]	Pf00270, Pf00271	9879	DDX46	5
BAA84924.1	ABP130 [Homo sapiens]	Pf03154, Pf09770, Pf12931	22872	SEC31A	4
BAA01387.1	mitochondrial acetoacetyl-CoA thiolase [Homo sapiens]	Pf00108, Pf00109, Pf02803	38	ACAT1	11
BAA96023.1	KIAA1499 protein, partial [Homo sapiens]	Pf05020, Pf05021, Pf11543	55666	NPLOC4	17
EAW51849.1	zyxin, isoform CRA_b [Homo sapiens]	Pf00412	7791	ZYX	7
NP_112182.1	acidic leucine-rich nuclear phosphoprotein 32 family member E isoform 1 [Homo sapiens]	Pf12799, Pf13855, Pf14580	81611	ANP32E	1
AAC78728.1	translation initiation factor eIF3 p44 subunit [Homo sapiens]	Pf00076, Pf12353, Pf13893, Pf14259	8666	EIF3G	19
BAD92951.1	crystallin, zeta variant, partial [Homo sapiens]	Pf00107, Pf08240, Pf13602	1429	CRYZ	1
CAA28571.1	unnamed protein product [Homo sapiens]		5860	QDPR	4
AAD16122.2	BAG-family molecular chaperone regulator-3 [Homo sapiens]	Pf00397, Pf02179	9531	BAG3	10
NP_005868.1	splicing factor 3A subunit 1 [Homo sapiens]	Pf00240, Pf01805, Pf12230, Pf14560	10291	SF3A1	22
XP_006714132.1	PDZ and LIM domain protein 5 isoform X6 [Homo sapiens]	Pf00412, Pf00595, Pf13180	10611	PDLIM5	4
4XBL_A	Chain A, Crystal Structure Of Human Galectin-1 In Complex With Type 1 N- Acetyllactosamine				
XP_011514713.1	trypsin-1 isoform X1 [Homo sapiens]	Pf00089	5644	PRSS1	7
BAA75062.1	apg-2 [Homo sapiens]	Pf00012, Pf06723	3308	HSPA4	5
NP_001317000.1	serine/threonine-protein kinase DCLK1 isoform 5 [Homo sapiens]	Pf00069, Pf03607, Pf07714, Pf14531	9201	DCLK1	13
NP_001269526.1	catenin alpha-2 isoform 3 [Homo sapiens]	Pf01044	1496	CTNNA2	2
NP_031383.1	conserved oligomeric Golgi complex subunit 2 isoform 1 [Homo sapiens]	Pf06148, Pf12022	22796	COG2	1
NP_057951.1	RNA-binding protein Raly isoform 1 [Homo sapiens]	Pf00076, Pf13893, Pf14259	22913	RALY	20
EAW55711.1	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis), isoform CRA_a [Homo sapiens]	Pf01399	8533	COPS3	17
